   1.423    1.71    2.43    1.56    1.27     2.8    3.06    0.28    2.29   1.128    1.04    3.92   1.065       1
    1.32    1.78    2.14    1.12       1    2.65    2.76    0.26    1.28   0.876    1.05     3.4    1.05       1
   1.316    2.36    2.67    1.86    1.01     2.8    3.24     0.3    2.81   1.136    1.03    3.17   1.185       1
   1.437    1.95     2.5    1.68    1.13    3.85    3.49    0.24    2.18    1.56    0.86    3.45    1.48       1
   1.324    2.59    2.87     2.1    1.18     2.8    2.69    0.39    1.82   0.864    1.04    2.93   0.735       1
    1.42    1.76    2.45    1.52    1.12    3.27    3.39    0.34    1.97    1.35    1.05    2.85    1.45       1
   1.439    1.87    2.45    1.46    0.96     2.5    2.52     0.3    1.98    1.05    1.02    3.58    1.29       1
   1.406    2.15    2.61    1.76    1.21     2.6    2.51    0.31    1.25    1.01    1.06    3.58   1.295       1
   1.483    1.64    2.17     1.4    0.97     2.8    2.98    0.29    1.98    1.04    1.08    2.85   1.045       1
   1.386    1.35    2.27     1.6    0.98    2.98    3.15    0.22    1.85   1.444    1.01    3.55   1.045       1
    1.41    2.16     2.3     1.8    1.05    2.95    3.32    0.22    2.38    1.15    1.25    3.17    1.51       1
   1.412    1.48    2.32    1.68    0.95     2.2    2.43    0.26    1.57       1    1.17    2.82    1.28       1
   1.375    1.73    2.41     1.6    0.89     2.6    2.76    0.29    1.81    1.12    1.15     2.9    1.32       1
   1.475    1.73    2.39    1.14    0.91     3.1    3.69    0.43    2.81    1.08    1.25    2.73    1.15       1
   1.438    1.87    2.38     1.2    1.02     3.3    3.64    0.29    2.96     1.5     1.2       3   1.547       1
   1.363    1.81     2.7    1.72    1.12    2.85    2.91     0.3    1.46    1.46    1.28    2.88    1.31       1
    1.43    1.92    2.72       2     1.2     2.8    3.14    0.33    1.97    1.24    1.07    2.65    1.28       1
   1.383    1.57    2.62       2    1.15    2.95     3.4     0.4    1.72    1.32    1.13    2.57    1.13       1
   1.419    1.59    2.48    1.65    1.08     3.3    3.93    0.32    1.86    1.74    1.23    2.82    1.68       1
   1.364     3.1    2.56    1.52    1.16     2.7    3.03    0.17    1.66    1.02    0.96    3.36   0.845       1
   1.406    1.63    2.28     1.6    1.26       3    3.17    0.24     2.1    1.13    1.09    3.71    0.78       1
   1.293     3.8    2.65    1.86    1.02    2.41    2.41    0.25    1.98     0.9    1.03    3.52    0.77       1
   1.371    1.86    2.36    1.66    1.01    2.61    2.88    0.27    1.69    0.76    1.11       4   1.035       1
   1.285     1.6    2.52    1.78    0.95    2.48    2.37    0.26    1.46   0.786    1.09    3.63   1.015       1
    1.35    1.81    2.61       2    0.96    2.53    2.61    0.28    1.66   0.704    1.12    3.82   0.845       1
   1.305    2.05    3.22     2.5    1.24    2.63    2.68    0.47    1.92   0.716    1.13     3.2    0.83       1
   1.339    1.77    2.62    1.61    0.93    2.85    2.94    0.34    1.45    0.96    0.92    3.22   1.195       1
    1.33    1.72    2.14     1.7    0.94     2.4    2.19    0.27    1.35    0.79    1.02    2.77   1.285       1
   1.387     1.9     2.8    1.94    1.07    2.95    2.97    0.37    1.76     0.9    1.25     3.4   0.915       1
   1.402    1.68    2.21     1.6    0.96    2.65    2.33    0.26    1.98    0.94    1.04    3.59   1.035       1
   1.373     1.5     2.7    2.25    1.01       3    3.25    0.29    2.38    1.14    1.19    2.71   1.285       1
